"Risk_ID,Risk_Title,Risk_Description,Risk_Category,Sub_Category,Sector,Department_Unit,Project_Name,Project_Code,Project_Phase,Process_Group,Risk_Owner,Stakeholder_Group,Date_Identified,Probability_Rating,Impact_Rating,Risk_Score,Qualitative_Notes,Quantitative_Notes,Mitigation_Strategy,Contingency_Plan,Risk_Status,Review_Date,Monitoring_Method,Control_Method,Documentation_Link,Lessons_Learned,Source_Type,Data_Quality_Flag,RMS_Step_Primary,RMS_Step_Identification,RMS_Step_Analysis_Qualitative,RMS_Step_Analysis_Quantitative,RMS_Step_Response_Planning,RMS_Step_Monitoring,RMS_Step_Controlling,RMS_Step_Documentation"
"CS105,Unsecured Dev CI Job Artifacts,Artifacts contain sensitive data,Cybersecurity,DevSecOps,Technology,Engineering,CIArtifactSecure Program,CAS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Secrets embedded in build artifacts,Credential leakage risk,Scan artifacts for sensitive content,Purge affected artifacts and rotate secrets,Open,2025-10-01,Artifact Logs,Artifact Scanning Policy,https://ciartifactsecure/docs/cs105,Audit artifact contents monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS106,Unsecured Dev CI Job Execution,Jobs run without validation checks,Cybersecurity,Change Management,Technology,Engineering,CIExecSecure Program,CES-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Jobs executed without code review,Uncontrolled deployment risk,Implement validation steps and approval workflow,Restrict job execution and notify team,Open,2025-10-01,Execution Logs,Execution Policy,https://ciexecsecure/docs/cs106,Audit job execution logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS107,Unsecured Dev CI Job Storage,Storage lacks encryption and access controls,Cybersecurity,Data Protection,Technology,Engineering,CIStorageSecure Program,CSS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Artifacts stored in unencrypted volumes,Data leakage risk,Encrypt storage and enforce access policies,Re-encrypt and rotate credentials,Open,2025-10-01,Storage Logs,Storage Policy,https://cistoragesecure/docs/cs107,Audit storage configurations monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS108,Unsecured Dev CI Job Queue,Queue accessible without authentication,Cybersecurity,Application Security,Technology,Engineering,CIQueueSecure Program,CQS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Queue exposed to public,Unauthorized job injection risk,Restrict queue access and enforce ACLs,Purge queue and rotate credentials,Open,2025-10-01,Queue Logs,Queue Access Policy,https://ciqueuesecure/docs/cs108,Audit job queue access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS109,Unsecured Dev CI Job Scheduler,Scheduler lacks access controls,Cybersecurity,Application Security,Technology,Engineering,CISchedulerSecure Program,CSS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Cron jobs editable by all users,Privilege escalation risk,Restrict scheduler access and enforce RBAC,Reconfigure scheduler and notify team,Open,2025-10-01,Scheduler Logs,Scheduler Policy,https://cischedulersecure/docs/cs109,Audit scheduler permissions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS110,Unsecured Dev CI Job Trigger Logic,Trigger logic lacks validation,Cybersecurity,Application Security,Technology,Engineering,CITriggerLogicSecure Program,CTLS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Jobs triggered by unverified conditions,Uncontrolled execution risk,Implement trigger validation and approval steps,Restrict triggers and notify team,Open,2025-10-01,Trigger Logs,Trigger Logic Policy,https://citriggerlogicsecure/docs/cs110,Audit trigger logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS111,Unsecured Dev CI Job Timeout,Jobs lack timeout configuration,Cybersecurity,Application Security,Technology,Engineering,CITimeoutSecure Program,CTS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Jobs run indefinitely due to missing timeout,Resource exhaustion risk,Configure job timeouts and enforce limits,Terminate long-running jobs and notify team,Open,2025-10-01,CI Logs,Timeout Policy,https://citimeoutsecure/docs/cs111,Audit timeout settings monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS112,Unsecured Dev CI Job Dependencies,Dependencies lack version control,Cybersecurity,Application Security,Technology,Engineering,CIDepSecure Program,CDS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Unpinned dependencies introduce instability,Exposure to breaking changes,Enforce version pinning and dependency scanning,Update dependency files and notify team,Open,2025-10-01,Dependency Logs,Dependency Policy,https://cidepsecure/docs/cs112,Review dependency versions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS113,Unsecured Dev CI Job Rollback,No rollback plan for failed jobs,Cybersecurity,Change Management,Technology,Engineering,CIRollbackSecure Program,CRS-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Failed deployments affect production,No recovery mechanism,Implement rollback scripts and approval workflow,Revert changes and notify stakeholders,Open,2025-10-01,Rollback Logs,Rollback Policy,https://cirollbacksecure/docs/cs113,Test rollback procedures monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS114,Unsecured Dev CI Job Notification Format,Notifications lack standardization,Cybersecurity,Communication Security,Technology,Engineering,CINotifyFormat Program,CNF-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Inconsistent notification formats confuse recipients,Delayed incident response,Standardize notification templates and channels,Update formats and train team,Open,2025-10-01,Notification Logs,Notification Format Policy,https://cinotifyformat/docs/cs114,Audit notification formats monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS115,Unsecured Dev CI Job Approval Trail,No record of job approvals,Cybersecurity,Governance Risk,Technology,Engineering,CIApprovalTrail Program,CAT-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Approvals not logged or tracked,No accountability for job execution,Enable approval logging and retention,Configure audit trail and notify team,Open,2025-10-01,Approval Logs,Approval Policy,https://ciapprovaltrail/docs/cs115,Review approval records monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS116,Unsecured Dev CI Job Notification Delay,Notifications sent post-incident,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyDelay Program,CND-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alerts received after job failure,Delayed response and recovery,Configure real-time notifications and escalation paths,Test alert delivery and notify team,Open,2025-10-01,Notification Logs,Alert Timing Policy,https://cinotifydelay/docs/cs116,Audit notification latency monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS117,Unsecured Dev CI Job Retry Logic,Retry logic lacks validation checks,Cybersecurity,Change Management,Technology,Engineering,CIRetryLogic Program,CRL-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Jobs retried without verifying root cause,Repeated failures and resource waste,Implement retry validation and approval steps,Restrict retries and notify team,Open,2025-10-01,Retry Logs,Retry Policy,https://ciretrylogic/docs/cs117,Audit retry logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS118,Unsecured Dev CI Job Notification Escalation,No escalation for failed jobs,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyEscalation Program,CNE-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Failed jobs not escalated to stakeholders,Delayed incident resolution,Configure escalation paths and notification tiers,Update escalation matrix and notify team,Open,2025-10-01,Notification Logs,Escalation Policy,https://cinotifyescalation/docs/cs118,Review escalation logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS119,Unsecured Dev CI Job Notification Redundancy,Duplicate alerts flood channels,Cybersecurity,Communication Security,Technology,Engineering,CINotifyRedundancy Program,CNR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,2,6,Multiple alerts for same event,Alert fatigue and missed incidents,Deduplicate notifications and optimize alert logic,Update alert rules and notify team,Open,2025-10-01,Notification Logs,Alert Deduplication Policy,https://cinotifyredundancy/docs/cs119,Audit alert volume monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS120,Unsecured Dev CI Job Notification Routing,Alerts sent to wrong recipients,Cybersecurity,Communication Security,Technology,Engineering,CINotifyRouting Program,CNR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Critical alerts missed due to misrouting,Delayed response and confusion,Configure routing rules and recipient mapping,Test routing logic and notify team,Open,2025-10-01,Notification Logs,Routing Policy,https://cinotifyrouting/docs/cs120,Audit alert routing monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS121,Unsecured Dev CI Job Notification Logging,Notifications not logged for audit,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyLog Program,CNL-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No record of alerts sent,No traceability for incident response,Enable notification logging and retention,Configure logging and notify team,Open,2025-10-01,Notification Logs,Notification Logging Policy,https://cinotifylog/docs/cs121,Audit notification logs monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS122,Unsecured Dev CI Job Notification Permissions,All users can modify alert settings,Cybersecurity,Governance Risk,Technology,Engineering,CINotifyPerm Program,CNP-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No role separation for alert configs,Privilege escalation risk,Restrict alert configuration access and enforce RBAC,Reassign roles and audit permissions,Open,2025-10-01,Access Logs,Alert Configuration Policy,https://cinotifyperm/docs/cs122,Audit alert permissions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS123,Unsecured Dev CI Job Notification Templates,Templates lack standardization and validation,Cybersecurity,Communication Security,Technology,Engineering,CINotifyTemplate Program,CNT-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Templates include sensitive internal data,Exposure of system details,Standardize and sanitize notification templates,Update templates and notify team,Open,2025-10-01,Template Logs,Template Policy,https://cinotifytemplate/docs/cs123,Review templates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS124,Unsecured Dev CI Job Notification Frequency,Alerts sent too frequently,Cybersecurity,Communication Security,Technology,Engineering,CINotifyFreq Program,CNF-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,2,6,Alert fatigue due to excessive notifications,Missed critical alerts,Throttle alert frequency and prioritize severity,Update alert logic and notify team,Open,2025-10-01,Notification Logs,Alert Frequency Policy,https://cinotifyfreq/docs/cs124,Audit alert volume monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS125,Unsecured Dev CI Job Notification Channel Access,Public users can view alert channels,Cybersecurity,Communication Security,Technology,Engineering,CINotifyChannelAccess Program,CNCA-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Slack channels exposed to external users,Unauthorized access to alerts,Restrict channel access and enforce ACLs,Reconfigure channels and notify team,Open,2025-10-01,Channel Logs,Channel Access Policy,https://cinotifychannelaccess/docs/cs125,Audit channel access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS126,Unsecured Dev CI Job Notification Content,Alerts include sensitive internal data,Cybersecurity,Communication Security,Technology,Engineering,CINotifyContent Program,CNC-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Internal URLs and credentials in alerts,Exposure of system architecture,Sanitize alert content and restrict fields,Update alert templates and notify team,Open,2025-10-01,Notification Logs,Alert Content Policy,https://cinotifycontent/docs/cs126,Audit alert content monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS127,Unsecured Dev CI Job Notification Format Validation,No validation for alert format,Cybersecurity,Communication Security,Technology,Engineering,CINotifyFormatValidation Program,CNFV-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alerts fail to render correctly,Missed incidents due to formatting errors,Implement format validation and preview logic,Test templates and notify team,Open,2025-10-01,Notification Logs,Format Validation Policy,https://cinotifyformatvalidation/docs/cs127,Audit alert formatting monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS128,Unsecured Dev CI Job Notification Routing Logic,Routing logic lacks validation,Cybersecurity,Communication Security,Technology,Engineering,CINotifyRoutingLogic Program,CNRL-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alerts routed to wrong teams,Delayed response and confusion,Validate routing logic and configure fallback paths,Update routing rules and notify team,Open,2025-10-01,Routing Logs,Routing Logic Policy,https://cinotifyroutinglogic/docs/cs128,Audit routing logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS129,Unsecured Dev CI Job Notification Escalation Logic,Escalation logic not enforced,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyEscalationLogic Program,CNEL-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Critical alerts not escalated properly,Delayed incident resolution,Configure escalation logic and test workflows,Update escalation matrix and notify team,Open,2025-10-01,Escalation Logs,Escalation Logic Policy,https://cinotifyescalationlogic/docs/cs129,Audit escalation logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS130,Unsecured Dev CI Job Notification Delivery,Alerts fail to reach recipients,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyDelivery Program,CND-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Delivery failures due to misconfigured endpoints,Missed incidents and delayed response,Monitor delivery status and configure retries,Fix endpoints and notify team,Open,2025-10-01,Delivery Logs,Delivery Policy,https://cinotifydelivery/docs/cs130,Audit delivery success rates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS131,Unsecured Dev CI Job Notification Endpoint,Endpoints lack authentication,Cybersecurity,Application Security,Technology,Engineering,CINotifyEndpoint Program,CNEP-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Notification endpoints accessible publicly,Unauthorized alert injection risk,Enforce endpoint authentication and ACLs,Disable exposed endpoints and rotate keys,Open,2025-10-01,Endpoint Logs,Endpoint Access Policy,https://cinotifyendpoint/docs/cs131,Audit endpoint access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS132,Unsecured Dev CI Job Notification Encryption,Alerts sent without encryption,Cybersecurity,Communication Security,Technology,Engineering,CINotifyEncryption Program,CNE-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Sensitive alerts intercepted in transit,Exposure of internal data,Enable TLS and encrypt notification payloads,Reconfigure endpoints and notify team,Open,2025-10-01,Notification Logs,Encryption Policy,https://cinotifyencryption/docs/cs132,Audit notification encryption monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS133,Unsecured Dev CI Job Notification Retry,Failed alerts not retried,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyRetry Program,CNR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alert delivery failures go unaddressed,Missed incidents and delayed response,Configure retry logic and monitor delivery status,Test retry mechanism and notify team,Open,2025-10-01,Notification Logs,Retry Policy,https://cinotifyretry/docs/cs133,Audit retry success rates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS134,Unsecured Dev CI Job Notification Queue,Queue lacks access controls,Cybersecurity,Application Security,Technology,Engineering,CINotifyQueue Program,CNQ-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Notification queue exposed to public,Unauthorized message injection risk,Restrict queue access and enforce ACLs,Purge queue and rotate credentials,Open,2025-10-01,Queue Logs,Queue Access Policy,https://cinotifyqueue/docs/cs134,Audit queue access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS135,Unsecured Dev CI Job Notification Storage,Stored alerts lack encryption,Cybersecurity,Data Protection,Technology,Engineering,CINotifyStorage Program,CNS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Alerts stored in plaintext volumes,Exposure of sensitive data,Encrypt storage and enforce access policies,Re-encrypt and rotate credentials,Open,2025-10-01,Storage Logs,Storage Policy,https://cinotifystorage/docs/cs135,Audit alert storage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS136,Unsecured Dev CI Job Notification Archive,Archived alerts lack retention policy,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyArchive Program,CNA-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Old alerts retained indefinitely,Storage and exposure risk,Enforce retention limits and purge schedule,Purge outdated alerts and notify team,Open,2025-10-01,Archive Logs,Retention Policy,https://cinotifyarchive/docs/cs136,Review archive retention monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS137,Unsecured Dev CI Job Notification Audit Trail,No audit trail for alert changes,Cybersecurity,Governance Risk,Technology,Engineering,CINotifyAudit Program,CNA-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alert settings modified without logging,No accountability for changes,Enable audit logging and change tracking,Configure audit trail and notify team,Open,2025-10-01,Audit Logs,Audit Trail Policy,https://cinotifyaudit/docs/cs137,Review audit trail monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS138,Unsecured Dev CI Job Notification Role Access,All users can modify alert roles,Cybersecurity,Identity & Access,Technology,Engineering,CINotifyRole Program,CNR-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No role separation for alert management,Privilege escalation risk,Implement RBAC and restrict admin roles,Reassign roles and audit access,Open,2025-10-01,Access Logs,RBAC Policy,https://cinotifyrole/docs/cs138,Audit alert roles monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS139,Unsecured Dev CI Job Notification Channel Logging,Channel activity not logged,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyChannelLog Program,CNCL-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No logs for alert channel activity,No traceability for alert delivery,Enable channel logging and retention,Configure logging and notify team,Open,2025-10-01,Channel Logs,Channel Logging Policy,https://cinotifychannellog/docs/cs139,Audit channel logs monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS140,Unsecured Dev CI Job Notification Channel Encryption,Channels transmit alerts without encryption,Cybersecurity,Communication Security,Technology,Engineering,CINotifyChannelEncryption Program,CNCE-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Alerts intercepted during transmission,Exposure of internal data,Enable TLS and encrypt channel traffic,Reconfigure channels and notify team,Open,2025-10-01,Channel Logs,Channel Encryption Policy,https://cinotifychannelencryption/docs/cs140,Audit channel encryption monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS141,Unsecured Dev CI Job Notification Channel Permissions,Channel settings editable by all users,Cybersecurity,Identity & Access,Technology,Engineering,CINotifyChannelPerm Program,CNCP-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No role separation for channel configs,Privilege escalation risk,Implement RBAC and restrict channel settings,Reassign roles and audit permissions,Open,2025-10-01,Access Logs,Channel Permission Policy,https://cinotifychannelperm/docs/cs141,Audit channel permissions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS142,Unsecured Dev CI Job Notification Channel Retention,Channel history retained indefinitely,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyChannelRetention Program,CNCR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Old messages contain sensitive data,Storage and exposure risk,Enforce retention limits and purge schedule,Purge outdated history and notify team,Open,2025-10-01,Channel Logs,Retention Policy,https://cinotifychannelretention/docs/cs142,Review channel retention monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS143,Unsecured Dev CI Job Notification Channel Audit Trail,No audit trail for channel changes,Cybersecurity,Governance Risk,Technology,Engineering,CINotifyChannelAudit Program,CNCA-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Channel settings modified without logging,No accountability for changes,Enable audit logging and change tracking,Configure audit trail and notify team,Open,2025-10-01,Audit Logs,Audit Trail Policy,https://cinotifychannelaudit/docs/cs143,Review audit trail monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS144,Unsecured Dev CI Job Notification Channel Encryption Keys,Keys stored in plaintext,Cybersecurity,Data Protection,Technology,Engineering,CINotifyChannelKeys Program,CNCK-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Encryption keys found in config files,Unauthorized access risk,Use secret vaults and rotate keys,Remove keys and audit configs,Open,2025-10-01,Key Logs,Key Management Policy,https://cinotifychannelkeys/docs/cs144,Audit key storage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS145,Unsecured Dev CI Job Notification Channel Format,Format lacks standardization,Cybersecurity,Communication Security,Technology,Engineering,CINotifyChannelFormat Program,CNCF-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Inconsistent channel message formats,Confusion and missed alerts,Standardize channel formats and validate templates,Update formats and notify team,Open,2025-10-01,Channel Logs,Format Policy,https://cinotifychannelformat/docs/cs145,Audit channel formats monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS146,Unsecured Dev CI Job Notification Channel Routing,Routing logic misdirects alerts,Cybersecurity,Communication Security,Technology,Engineering,CINotifyChannelRouting Program,CNCR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alerts sent to wrong channels,Delayed incident response,Validate routing logic and configure fallback paths,Update routing rules and notify team,Open,2025-10-01,Routing Logs,Routing Policy,https://cinotifychannelrouting/docs/cs146,Audit routing logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS147,Unsecured Dev CI Job Notification Channel Escalation,Escalation logic not enforced,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyChannelEscalation Program,CNCE-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Critical alerts not escalated properly,Delayed resolution and confusion,Configure escalation logic and test workflows,Update escalation matrix and notify team,Open,2025-10-01,Escalation Logs,Escalation Policy,https://cinotifychannelscalation/docs/cs147,Audit escalation logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS148,Unsecured Dev CI Job Notification Channel Delivery,Delivery failures not monitored,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyChannelDelivery Program,CNCD-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Alerts fail to reach channels,Missed incidents and delayed response,Monitor delivery status and configure retries,Fix endpoints and notify team,Open,2025-10-01,Delivery Logs,Delivery Policy,https://cinotifychanneldelivery/docs/cs148,Audit delivery success rates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS149,Unsecured Dev CI Job Notification Channel Retry,Failed alerts not retried,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyChannelRetry Program,CNCR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Retry logic missing for failed alerts,Missed incidents and delayed response,Configure retry logic and monitor delivery status,Test retry mechanism and notify team,Open,2025-10-01,Retry Logs,Retry Policy,https://cinotifychannelretry/docs/cs149,Audit retry success rates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS150,Unsecured Dev CI Job Notification Channel Queue,Queue lacks access controls,Cybersecurity,Application Security,Technology,Engineering,CINotifyChannelQueue Program,CNCQ-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Notification queue exposed to public,Unauthorized message injection risk,Restrict queue access and enforce ACLs,Purge queue and rotate credentials,Open,2025-10-01,Queue Logs,Queue Access Policy,https://cinotifychannelqueue/docs/cs150,Audit queue access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS151,Unsecured Dev CI Job Notification Channel Storage,Channel logs stored without encryption,Cybersecurity,Data Protection,Technology,Engineering,CINotifyChannelStorage Program,CNCS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Logs stored in plaintext volumes,Exposure of sensitive alert history,Encrypt storage and enforce access policies,Re-encrypt and rotate credentials,Open,2025-10-01,Storage Logs,Storage Policy,https://cinotifychannelstorage/docs/cs151,Audit channel storage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS152,Unsecured Dev CI Job Notification Channel Archive,Archived messages lack retention policy,Cybersecurity,Monitoring Failure,Technology,Engineering,CINotifyChannelArchive Program,CNCA-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Old messages retained indefinitely,Storage and exposure risk,Enforce retention limits and purge schedule,Purge outdated messages and notify team,Open,2025-10-01,Archive Logs,Retention Policy,https://cinotifychannelarchive/docs/cs152,Review archive retention monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS153,Unsecured Dev CI Job Notification Channel Audit Trail,No audit trail for channel message changes,Cybersecurity,Governance Risk,Technology,Engineering,CINotifyChannelAuditTrail Program,CNCAT-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Message edits not logged,No accountability for alert content,Enable audit logging and change tracking,Configure audit trail and notify team,Open,2025-10-01,Audit Logs,Audit Trail Policy,https://cinotifychannelaudittrail/docs/cs153,Review audit trail monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS154,Unsecured Dev CI Job Notification Channel Role Access,All users can modify channel roles,Cybersecurity,Identity & Access,Technology,Engineering,CINotifyChannelRole Program,CNCR-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No role separation for channel management,Privilege escalation risk,Implement RBAC and restrict admin roles,Reassign roles and audit access,Open,2025-10-01,Access Logs,RBAC Policy,https://cinotifychannelrole/docs/cs154,Audit channel roles monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
